family,pearson_r,ci_lo,ci_hi,pooled_r,seeds,n
concept,0.12090348105744911,0.08447782450091967,0.15732913761397854,0.09745206835318028,10,3237
shortcut,-0.10356002393607958,-0.1917569241808491,-0.015363123691310057,-0.09498596061261945,10,4329
