explainer,quantity,mean,lo,hi
expected_gradients,nu,0.13314481341862414,0.1306833167054153,0.13554780338729086
expected_gradients,rho_null,0.10048093080180469,0.09121062530293812,0.10981099140079176
expected_gradients,rho_seed,0.15046148639320017,0.14799308687717325,0.15289295508634101
expected_gradients,delta,0.15329718825483946,0.15074959920243386,0.15587389099332694
expected_gradients,ratio,1.5256346356624928,1.3812546523219154,1.6980676372987606
gradient_x_input,nu,0.0,0.0,0.0
gradient_x_input,rho_null,0.043849468346002715,0.03810194205071808,0.049582299704713326
gradient_x_input,rho_seed,0.12925151549705508,0.12467251862678871,0.1338140187427885
gradient_x_input,delta,0.07383757537897521,0.06395260180481431,0.08385694154016515
gradient_x_input,ratio,1.6838875855083473,1.5970129116867233,1.7791226811464536
integrated_gradients,nu,0.0,0.0,0.0
integrated_gradients,rho_null,0.03882478173032554,0.034130793211049004,0.04349462114878483
integrated_gradients,rho_seed,0.08577158669347339,0.0812324037214825,0.09037390779686383
integrated_gradients,delta,0.07037506341275832,0.061749575778623306,0.0791196870421044
integrated_gradients,ratio,1.812632557771452,1.7106620627511497,1.9218523020423932
kernel_shap,nu,0.019109133884644684,0.0186459879329282,0.019558207692615907
kernel_shap,rho_null,0.03736068014187781,0.03282803429212933,0.041828305650696826
kernel_shap,rho_seed,0.06229710905366267,0.05969058901651944,0.06492184705374783
kernel_shap,delta,0.06529622566906335,0.05667896319852899,0.07396061616519913
kernel_shap,ratio,1.7477258288955082,1.647180332060069,1.850582263158143
lime,nu,0.03365275279529826,0.033125982604897096,0.034188382987688726
lime,rho_null,0.02811819216958253,0.024475172880020723,0.03170742573036657
lime,rho_seed,0.047391256038467514,0.044461633894927334,0.05033929001957022
lime,delta,0.0537330696832136,0.04599451418110662,0.06170635881402839
lime,ratio,1.9109717068276006,1.7766813657711285,2.052733131926741
saliency,nu,0.0,0.0,0.0
saliency,rho_null,0.04036297229122081,0.03486496333881054,0.045897256805946474
saliency,rho_seed,0.12004891458902625,0.11583690117143815,0.12427706432224271
saliency,delta,0.07011271930346945,0.06007170567859682,0.08028151769519073
saliency,ratio,1.7370554080507938,1.634867013349993,1.8525374652862348
smoothgrad,nu,0.014676068500421626,0.014401136220745757,0.014948792972389465
smoothgrad,rho_null,0.04016254018017861,0.03469178826680557,0.04567188914392528
smoothgrad,rho_seed,0.11806496572764483,0.11391335727609882,0.12222897196579262
smoothgrad,delta,0.06981248550877192,0.05978649964330447,0.07999096329553271
smoothgrad,ratio,1.73824875606913,1.6366180225929772,1.853664122223455
