explainer,magnitude,update_epochs,ratio,ratio_seed
gradient_x_input,0.75,1,1.2596135654529474,0.1905084534781198
gradient_x_input,0.75,2,1.2372165453335204,0.2942736776049221
gradient_x_input,0.75,5,1.1695649238736618,0.4711663250417416
gradient_x_input,0.75,20,1.0934093559469846,0.8516829915053408
gradient_x_input,0.75,60,1.0495463445754345,1.2335499983561322
gradient_x_input,1.0,1,1.4272593169733183,0.21074924585288482
gradient_x_input,1.0,2,1.3870710511339188,0.3153552758833972
gradient_x_input,1.0,5,1.3046074906248102,0.5008273796525993
gradient_x_input,1.0,20,1.1832691551030017,0.8874574146985881
gradient_x_input,1.0,60,1.105125130661609,1.2720337301876168
gradient_x_input,1.5,1,1.8081676516176877,0.24772159570580113
gradient_x_input,1.5,2,1.6647747462464257,0.3500796336248603
gradient_x_input,1.5,5,1.503692851565941,0.5322129514514651
gradient_x_input,1.5,20,1.2466575544695302,0.8747972855228866
gradient_x_input,1.5,60,1.1091182821614274,1.18487014363721
gradient_x_input,2.0,1,2.3552660562582988,0.30672771686567996
gradient_x_input,2.0,2,2.243326760019856,0.4215319838786432
gradient_x_input,2.0,5,1.8169891404896945,0.5854162071496096
gradient_x_input,2.0,20,1.3777148943069057,0.9422794426130863
gradient_x_input,2.0,60,1.1474950897541514,1.2259655287645737
integrated_gradients,0.75,1,1.197312181565293,0.30180369747696967
integrated_gradients,0.75,2,1.1571109342656922,0.44096032438554933
integrated_gradients,0.75,5,1.107281289111636,0.6617529287083601
integrated_gradients,0.75,20,1.0233132047487838,1.0272562513148364
integrated_gradients,0.75,60,0.9976220428463465,1.4060023257413012
integrated_gradients,1.0,1,1.289006001144193,0.33290594283426944
integrated_gradients,1.0,2,1.200801741272925,0.47581797677813786
integrated_gradients,1.0,5,1.167952554153195,0.7026767327899516
integrated_gradients,1.0,20,1.0807048045815577,1.0700477179600527
integrated_gradients,1.0,60,1.0512083776818721,1.4849283819623271
integrated_gradients,1.5,1,1.561132189982933,0.37087789280408245
integrated_gradients,1.5,2,1.3886657975612535,0.5028248427227833
integrated_gradients,1.5,5,1.2652985868044213,0.712011927779768
integrated_gradients,1.5,20,1.1312471087972376,1.0829544351031501
integrated_gradients,1.5,60,1.047880277044881,1.4258327910204223
integrated_gradients,2.0,1,1.8517261452411908,0.4239047100280241
integrated_gradients,2.0,2,1.7174320597698078,0.5846162012664357
integrated_gradients,2.0,5,1.5290261368984404,0.7938431790964843
integrated_gradients,2.0,20,1.2874745877347027,1.1666528817946031
integrated_gradients,2.0,60,1.1206525213930802,1.4265192501028507
