explainer,quantity,mean,lo,hi
expected_gradients,nu,0.13550786436611945,0.13314381313271192,0.13832066449338443
expected_gradients,rho_null,0.13795726289851343,0.13566623751976148,0.14045722345783931
expected_gradients,rho_seed,0.18080903364306927,0.17495910257613567,0.1863984081637684
expected_gradients,delta,0.14120367619472812,0.1389717057483055,0.14376481421738602
expected_gradients,ratio,1.0235320216421144,1.0171520244454646,1.0295892079295528
gradient_x_input,nu,0.0,0.0,0.0
gradient_x_input,rho_null,0.02503521843044289,0.02236831468379939,0.02838335352889244
gradient_x_input,rho_seed,0.19497953850349067,0.18297380959578266,0.2051992225802126
gradient_x_input,delta,0.04185747484849409,0.03840537296853701,0.045492214898688633
gradient_x_input,ratio,1.6719436646734145,1.4932749499192313,1.8723263031527444
integrated_gradients,nu,0.0,0.0,0.0
integrated_gradients,rho_null,0.026156691425631946,0.0234225160539442,0.0296064734588691
integrated_gradients,rho_seed,0.1284935489218098,0.1178303402275812,0.13877721146651623
integrated_gradients,delta,0.03978634436552832,0.03590374337824279,0.0436266801183083
integrated_gradients,ratio,1.5210771010029254,1.3559724762419891,1.7057241814510837
kernel_shap,nu,0.072975631707994,0.06895517352958404,0.07723757506726908
kernel_shap,rho_null,0.027621952412970795,0.024500245669448875,0.031018284988964175
kernel_shap,rho_seed,0.1161223139781326,0.1073795988569421,0.12443658300481175
kernel_shap,delta,0.03878840886597709,0.03574741040616068,0.04206070857998768
kernel_shap,ratio,1.4042602161519444,1.27460467043564,1.555622755753227
lime,nu,0.05634892525630406,0.054090406572382815,0.05860534981181813
lime,rho_null,0.030323206806633207,0.02679008455274679,0.03421089910666862
lime,rho_seed,0.06990733110846876,0.06283767480872852,0.07656660150092708
lime,delta,0.03794680029007087,0.03462797808514135,0.04127059123159146
lime,ratio,1.2514111891942117,1.1443294707369727,1.3751878663649024
saliency,nu,0.0,0.0,0.0
saliency,rho_null,0.025209990144353867,0.022859299014943178,0.02791577075776671
saliency,rho_seed,0.20193438088086121,0.18985050892570765,0.21227214474909747
saliency,delta,0.043604922682928524,0.03997780242260608,0.047232418369825536
saliency,ratio,1.7296683748483916,1.5826522475538682,1.895265962259268
smoothgrad,nu,0.015748185011690834,0.014911459711142404,0.01658692504622647
smoothgrad,rho_null,0.02526993516683932,0.0229048520272133,0.027998533464070722
smoothgrad,rho_seed,0.19982800733615194,0.18785756952070304,0.21010270242847953
smoothgrad,delta,0.04363241186861732,0.040006896006160204,0.047268442539386314
smoothgrad,ratio,1.7266530990500644,1.5785852787006995,1.8938806918930833
