index,cosine,l1,spearman,topk,topk10,topk3
cosine,1.0,1.0,1.0,0.8666666666666666,0.9047619047619049,0.6190476190476191
l1,1.0,1.0,1.0,0.8666666666666666,0.9047619047619049,0.6190476190476191
spearman,1.0,1.0,1.0,0.8666666666666666,0.9047619047619049,0.6190476190476191
topk,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.9999999999999999,0.7333333333333333,0.6
topk10,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.7333333333333333,1.0,0.5238095238095238
topk3,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6,0.5238095238095238,1.0
