family,update_epochs,completeness,r,seeds
concept,2,1.2243243941654955,0.056442621675940524,8
concept,20,2.087399799129786,0.13010341931452557,8
concept,100,1.9016923716757914,0.38466818727412566,8
concept,400,3.03201068230201,-0.01334541968551189,8
shortcut,2,0.24932216149076225,0.14933647378907974,8
shortcut,20,0.9929442535861263,0.8817574667819676,8
shortcut,100,1.1425105700422535,0.8558231566791661,8
shortcut,400,1.1609735891067223,0.508896372428434,8
