explainer,quantity,mean,lo,hi
expected_gradients,nu,0.15321475894389355,0.14685820706864675,0.15998928215173422
expected_gradients,rho_null,0.15633876013264167,0.1506227231869983,0.16259313542639184
expected_gradients,rho_seed,0.18503601103676662,0.17980285136104668,0.19014519090716164
expected_gradients,delta,0.15879753555377762,0.15362794747102432,0.16463252464164846
expected_gradients,ratio,1.0157272286095262,1.0089090420296012,1.022719654712859
gradient_x_input,nu,0.0,0.0,0.0
gradient_x_input,rho_null,0.023253398908369867,0.020555301296252455,0.02609096762548027
gradient_x_input,rho_seed,0.15332291894479216,0.14841296765435386,0.15828716016134203
gradient_x_input,delta,0.03650473700561184,0.034817017038036635,0.0384677968747191
gradient_x_input,ratio,1.5698667170962377,1.4121203333905799,1.76361222457382
integrated_gradients,nu,0.0,0.0,0.0
integrated_gradients,rho_null,0.024691857744496976,0.021629469999737562,0.027847631290683614
integrated_gradients,rho_seed,0.105093167941353,0.10017836595383914,0.1097523616734975
integrated_gradients,delta,0.03858315102791917,0.0366375181964551,0.04078642389199086
integrated_gradients,ratio,1.5625859919964151,1.3870193046874821,1.775030028987554
kernel_shap,nu,0.05559064462192285,0.0531065014071398,0.05810186119919616
kernel_shap,rho_null,0.026104884538032346,0.023252014296450622,0.02894627345387348
kernel_shap,rho_seed,0.09887600766405441,0.09572838814928002,0.1022659535681549
kernel_shap,delta,0.04150926648832871,0.039300524003612065,0.04399692622191595
kernel_shap,ratio,1.5900957703089487,1.4255438879313216,1.8007302320349292
lime,nu,0.03913562675288991,0.037976994081103936,0.04026906979372467
lime,rho_null,0.02404003266387395,0.021045363348553708,0.027084493418634233
lime,rho_seed,0.05687228684931696,0.050440075038626346,0.0635056318136925
lime,delta,0.04463101099383496,0.04157152777629311,0.04787653516306414
lime,ratio,1.856528716822586,1.6755057372187545,2.0815580866378403
saliency,nu,0.0,0.0,0.0
saliency,rho_null,0.021634409034668678,0.01935188832595945,0.023940677081082173
saliency,rho_seed,0.14756624346396044,0.1428732727084142,0.15208563449344048
saliency,delta,0.03664379084218759,0.0351126999413289,0.03845673213834205
saliency,ratio,1.693773598505358,1.5426269166330175,1.8827847249489864
smoothgrad,nu,0.011797642520514597,0.011418597844365198,0.012136577093124988
smoothgrad,rho_null,0.021679803963907816,0.019389461774715344,0.023997656626086782
smoothgrad,rho_seed,0.14589709105049856,0.14130796788223673,0.1503098106449132
smoothgrad,delta,0.03671616205171952,0.03516791965114253,0.03854571928503819
smoothgrad,ratio,1.6935652237835725,1.5415365978323754,1.8837806812034994
