seed,family,ig_slack_max,ig_slack_median,ig_quad_tol,ig_residual_max,ig_violations,gi_slack_median,gi_slack_p90,gi_exceeds_one,gi_exceeds_one_preserved,coal_ratio_median,eps_coal_median,eps_data_median,n_probe
0,none,1.0000242426110517,0.7645757587886066,3.4013161985525614e-05,2.1298907988687166e-06,0,1.0310779163779018,1.2984672615265644,0.546,0.5323275862068966,1.6769549437751023,0.27605899050831784,0.14098027348518372,500
0,covariate,1.0000070987970686,0.8543364359496652,1.7910281347248514e-05,2.7258198831425773e-06,0,1.0203658138837455,1.3288844354002576,0.522,0.5046439628482973,1.1474233884616438,0.46620232820510865,0.43368446826934814,500
0,concept,1.0000114053458502,0.9662309187465673,2.4973828967917662e-05,2.290476761923621e-06,0,1.1166085044422687,1.405350420965875,0.658,0.6614420062695925,1.4455917530106221,0.5462981031835079,0.3564649000763893,500
0,shortcut,1.0000237845264734,0.9540359462854324,2.5812687246976788e-05,3.071982741853496e-06,0,1.2153112769662635,1.596990258536854,0.782,0.7852028639618138,1.9566329356386598,0.3484416280686856,0.16640517115592957,500
1,none,1.0000776260403903,0.9788356935108398,7.974080164570665e-05,2.387466836228924e-06,0,1.0106017928558395,1.6162454036308913,0.516,0.514344262295082,2.726890342412606,0.2100006088986992,0.07591743394732475,500
1,covariate,1.0000269488262727,0.8404231037431995,2.6948826272754638e-05,2.813569711657138e-06,0,0.9057678291956467,1.2895298656543688,0.348,0.3217821782178218,1.3944652137681808,0.2391807470098137,0.15287449955940247,500
1,concept,1.0000475469756294,0.9999964686909333,4.754697562937075e-05,2.6577385281445487e-06,0,0.928013063459751,1.310031867488653,0.398,0.42394822006472493,1.9188357360326216,0.6215399913862346,0.3183053135871887,500
1,shortcut,1.0000205887161389,0.9999956046800473,3.1005806606055025e-05,2.51799125822183e-06,0,1.1497075182841487,1.6425561467885958,0.71,0.7205882352941176,1.5274460345109961,0.5083081948757173,0.3214923143386841,500
2,none,1.0000104647062371,0.5610828641449538,3.414650790084571e-05,2.6694540632976604e-06,0,0.7244277731454738,1.0371251691832029,0.132,0.12605042016806722,2.2178919281989877,0.1983480170369148,0.08784189820289612,500
2,covariate,1.000231306504534,0.9999990549066533,0.0002313065045340974,1.734174334980243e-06,0,1.244886976944683,1.799998901870935,0.772,0.7256410256410256,1.917208594088986,0.2987189340591432,0.14906804263591766,500
2,concept,1.000160054916487,0.9999977330775287,0.0003350019913094642,2.6691425834002303e-06,0,1.1849634803513585,1.7426768563229076,0.724,0.7278688524590164,1.8374992513562065,0.5646770715713502,0.249190092086792,500
2,shortcut,1.000007824335216,0.8128351997816448,1.3207092279380774e-05,1.924328680624754e-06,0,0.9246398734379966,1.3592958753475293,0.406,0.42857142857142855,1.4527572513948548,0.4419248475134372,0.3432502746582031,500
3,none,1.0000235527750037,0.8934166389090776,5.4305962467768396e-05,2.5439152828987677e-06,0,0.8430495030201781,1.4487742938814165,0.344,0.3600867678958785,2.120475858146116,0.3174932491779327,0.1398700475692749,500
3,covariate,1.0000180385589539,0.8649721413036038,2.644481527518903e-05,2.4956619988358852e-06,0,0.892065139299212,1.5664812551072071,0.406,0.43636363636363634,1.96867096477159,0.2697033450007439,0.14563536643981934,500
3,concept,1.0000169226544104,0.9545357350339534,1.6922654410427288e-05,2.852905554240337e-06,0,0.8405470036569299,1.1663597345065753,0.274,0.3322884012539185,1.4785836782410038,0.620823831409216,0.34017831087112427,500
3,shortcut,1.0001202727344731,0.9999788008326598,0.0001202727344730666,3.524663689136176e-06,0,1.1206132305438072,1.701239029018035,0.656,0.6534883720930232,2.2031914344152095,0.554175314307213,0.2273169904947281,500
4,none,1.0000182017223798,0.935526658479747,4.97997127384174e-05,2.5789797462594244e-06,0,1.1277677544765794,1.5012424665325224,0.668,0.6518987341772152,1.6649130043333826,0.22783653393387793,0.1251131296157837,500
4,covariate,1.0000133220154015,0.8766090781852037,6.32809149294741e-05,1.8772927418836405e-06,0,1.0771302046466709,1.3213409513810188,0.658,0.6190476190476191,1.4456832506759536,0.41109989106655087,0.29142746329307556,500
4,concept,1.0000374779755106,0.9999930985877561,3.7477975510485914e-05,2.5759183543971886e-06,0,1.1188178998696263,1.5750586981394181,0.604,0.5956112852664577,1.624452802302002,0.6046162299066783,0.3310684561729431,500
4,shortcut,1.0000826089528592,0.9999975380574297,0.00013039272214156295,2.3723708403311505e-06,0,1.3154163622220163,1.9490181342994097,0.876,0.8656036446469249,1.8188634496567748,0.5850251451134678,0.30599188804626465,500
5,none,1.0000706744916321,0.9596996024006375,7.24330595418962e-05,2.3416288735811364e-06,0,1.2269513599656072,1.6450386000290476,0.766,0.7494505494505495,1.8354130252117637,0.3195002502202986,0.17479240894317627,500
