explainer,quantity,median,q25,q75,n
integrated_gradients,nu,0.0,0.0,0.0,3974
integrated_gradients,rho_null,0.024508559989197154,0.01958266033330192,0.030257392972816544,3974
integrated_gradients,rho_seed,0.12165848419019615,0.09691728784796697,0.15285762196778918,3974
integrated_gradients,delta,0.03739371049215169,0.029811460698243385,0.0467504643874585,3974
gradient_x_input,nu,0.0,0.0,0.0,3974
gradient_x_input,rho_null,0.022883528911809514,0.01767309372033117,0.02982386489731874,3974
gradient_x_input,rho_seed,0.18556831474108235,0.1477689458583941,0.2331517630156132,3974
gradient_x_input,delta,0.038588018816278796,0.029302718922708484,0.050961266622137624,3974
kernel_shap,nu,0.06896331119806517,0.05422302511297743,0.085777690067189,762
kernel_shap,rho_null,0.025769241728171896,0.020221485445180994,0.0324782881430299,762
kernel_shap,rho_seed,0.11217296378982994,0.0896934386007811,0.13669547891270803,762
kernel_shap,delta,0.03713676247838503,0.030007952688977896,0.04522564278583958,762
