explainer,ratio_cov,ratio_short,diff,ci_lo,ci_hi,p_difference,p_tost,equivalent,n
expected_gradients,1.0235954677992023,1.0161169608631446,0.007478506936057549,-0.0016466902208503173,0.016603704092965417,0.232421875,8.658267910745544e-09,True,10
gradient_x_input,1.7104504576009298,1.6213315596926896,0.08911889790824037,-0.12446927810726419,0.30270707392374496,0.375,0.463821132968892,False,10
integrated_gradients,1.5503181158972457,1.6232404902257023,-0.07292237432845697,-0.3215665392944844,0.1757217906375705,0.556640625,0.423104496140741,False,10
kernel_shap,1.435644533451149,1.6408169277725964,-0.20517239432144727,-0.4295390695361462,0.019194280893251647,0.16015625,0.7937551099253033,False,10
lime,1.2771407482810382,1.916577895596897,-0.639437147315859,-0.8444230274134417,-0.4344512672182763,0.001953125,0.9995291290224884,False,10
saliency,1.7529157363557313,1.7384811810052259,0.014434555350505574,-0.17820373939809958,0.20707285009911075,0.375,0.2182641737289993,False,10
smoothgrad,1.750287558925346,1.7385887941523006,0.011698764773045234,-0.1821285531943638,0.20552608274045428,0.431640625,0.21263565460766376,False,10
