explainer,n,acc_treat_tgt,acc_treat_tgt_p,ece_treat,ece_treat_p,agree_treat,agree_treat_p,acc_source_src,acc_source_src_p
EG,10,0.36210141531171786,0.30384539832808705,0.11988816897800703,0.7414816761168422,-0.7476746436883541,0.01290895350504415,-0.37361126257683097,0.28756817864478207
Grad$\times$Input,10,0.020740503037648614,0.9546496612473423,-0.16100107548285478,0.6567982735746684,-0.3055294415452221,0.39062656530516227,-0.08951202201237762,0.805753812702812
IG,10,-0.14897102062126177,0.6812620223375536,0.030854424870442168,0.9325701629408624,-0.46931062039968297,0.17118352596094893,6.560658218956127e-05,0.9998564856020782
KernelSHAP,10,-0.19367595278302618,0.5918712573915751,-0.1001342387868263,0.7831394921189516,-0.6453863285977656,0.043872720265199096,-0.04062497361290896,0.9112793903333405
LIME,10,-0.31605246505575635,0.37365451930458626,0.15051136708897633,0.6781141295617861,-0.6946831180080365,0.025783184509531883,-0.14745795247938664,0.6843584870283792
Saliency,10,0.05618443304114318,0.8774837866039853,-0.09404926618652229,0.7960773535561829,-0.4142237837799836,0.23400600373475847,-0.13164951345318704,0.7169562100609086
SmoothGrad,10,0.06261669438024078,0.8635617734352201,-0.09767106487043312,0.7883711013665253,-0.41746526953498725,0.22999434479996583,-0.13147803883882347,0.7173121680897658
