shift,explainer,nu,rho_null,rho_seed,omega,delta,delta_lo,delta_hi,ratio,ratio_lo,ratio_hi,ratio_seed,uec,uec_lo,uec_hi,exceedance,preserved,n_seeds
concept,tree_shap,0.0,0.22317818421963667,0.11683950002134033,0.1165487366804413,0.2595308550792824,0.25272867463362436,0.26691045547313963,1.1628863098190185,1.0964513806964031,1.240698025551235,2.229725203655641,-0.08019606582079553,-0.09384661924284736,-0.0645611067342743,0.17096963178211771,0.12480000000000002,10
covariate,tree_shap,0.0,0.21270043451305912,0.1103254857751264,0.0,0.4418083124583143,0.4319008882716897,0.4500283973928284,2.0771387396069882,1.9954598699036965,2.1672630729777262,4.0205193294745865,0.22910787794525525,0.2185724072036119,0.23869064468293194,0.8886857490549692,0.42919999999999997,10
none,tree_shap,0.0,0.22109435220522405,0.11392404450297193,0.0,0.2166287836195151,0.2088150264018483,0.2247571128562586,0.97980243031462,0.9445985047462332,1.0157305506808494,1.9026951014035913,-0.0044655685857089315,-0.012590838950905023,0.003400165456175535,0.048878639731532995,0.4196,10
shortcut,tree_shap,0.0,0.20841830663964314,0.10089924630720119,0.23815232313315243,0.3345022857228828,0.3240977185011305,0.3442910585006981,1.6049563549196273,1.5412688576759008,1.6768035008588804,3.322360515130529,-0.11206834404991281,-0.11934056167327474,-0.10595681207962089,0.5426643166155897,0.244,10
