family,IG max slack,IG violations,IG quad tol,GxI median slack,GxI frac > 1,GxI frac > 1 (preserved),coalition ratio (median)
concept,1.000160054916487,0,0.0003350019913094642,1.102121901713423,0.5888,0.5942902813190192,1.7093028450515926
covariate,1.000231306504534,0,0.0002313065045340974,1.1741745750407313,0.6674,0.6483734704090292,1.4200742322220672
none,1.0001474071197802,0,0.00023304914224149485,1.0313674060192117,0.5262,0.5184339798778399,1.9313825090288115
shortcut,1.0001202727344731,0,0.00013039272214156295,1.135160374413978,0.651,0.6601584691214456,1.5960820976561756
