family,r,r_lo,r_hi,r2,seeds,points
concept,0.12090348105744911,0.08447782450091967,0.15732913761397854,0.014617651731808956,10,3237
shortcut,-0.10356002393607958,-0.1917569241808491,-0.015363123691310057,0.010724678557641375,10,4329
