shift,explainer,nu,rho_null,rho_seed,omega,delta,delta_lo,delta_hi,ratio,ratio_lo,ratio_hi,ratio_seed,uec,uec_lo,uec_hi,exceedance,preserved,n_seeds
concept,EG,0.15408841835139803,0.1557400426653907,0.19197200024073144,0.11254971702190528,0.06480174908135046,0.06079032688781949,0.06862497933217332,0.4160891956385152,0.38818772488903364,0.44485847098078307,0.337462733712215,-0.20386389775446018,-0.2103585968861484,-0.19745163609143157,0.0,0.6474,10
concept,Grad$\times$Input,0.0,0.026021515758681234,0.1792651822472548,0.11254971702190528,0.05911959158122966,0.056171303196470894,0.06196401770800124,2.271950340229751,2.059063973444856,2.508153943873008,0.33053064741295163,-0.07945164119935687,-0.08465312351778821,-0.07444125775990762,0.8752925620879075,0.6474,10
concept,IG,0.0,0.02782312703464005,0.12222673764785663,0.11254971702190528,0.06143273539905856,0.05748434975065965,0.06515776438247942,2.2079737954175402,1.972715645107963,2.474158994309513,0.5055102079930452,-0.07894010865748677,-0.08529654728355918,-0.0727953610287769,0.9041794389611268,0.6474,10
concept,KernelSHAP,0.06924454973256615,0.02916039735115481,0.11396666821546023,0.11309683426037424,0.06661581601534186,0.06222979381472892,0.0708141462435712,2.2844618752324286,2.023009398900687,2.579739679094861,0.5862105753024889,-0.11572556797759855,-0.12531570727877464,-0.10614930095518743,0.06645523831121596,0.6300000000000001,10
concept,LIME,0.055074082416012936,0.03053118358488411,0.06835078773430742,0.11309683426037424,0.07193388596591195,0.06574105717908071,0.07801968568976754,2.356079179371421,2.035609289005785,2.757710027952128,1.0772674023618998,-0.09623703071047526,-0.107452242625483,-0.08502370927361275,0.5756883741258741,0.6300000000000001,10
concept,Saliency,0.0,0.02545575148632882,0.1793810621785899,0.11254971702190528,0.060889279654558606,0.05776447804511509,0.0638578530986618,2.391965512676363,2.1785681551025653,2.6276799334876353,0.34026856645998554,-0.07711618885367548,-0.08248195790125055,-0.07201311038139056,0.9882670039590027,0.6474,10
concept,SmoothGrad,0.015397918390187754,0.02553865915164192,0.17734811645172766,0.11254971702190528,0.0610870658127694,0.05793564798164809,0.06409357172421781,2.391944911831521,2.1786027690768863,2.6286941855954415,0.3452601766887962,-0.0770013103607778,-0.08240462188077877,-0.07185655076078093,0.9867848096860982,0.6474,10
covariate,EG,0.13550786436611945,0.13795726289851343,0.18080903364306927,0.0,0.14120367619472812,0.1389717057483055,0.14376481421738602,1.0235320216421144,1.0171520244454646,1.0295892079295528,0.782631687611014,0.0031169082245077113,0.0023088520428565604,0.0038849148508725497,0.056078319647233886,0.7948000000000001,10
covariate,Grad$\times$Input,0.0,0.02503521843044289,0.19497953850349067,0.0,0.04185747484849409,0.03840537296853701,0.045492214898688633,1.6719436646734145,1.4932749499192313,1.8723263031527444,0.21529717157260148,0.016822256418051205,0.013367617951374072,0.020351096526824694,0.5742373890147902,0.7948000000000001,10
covariate,IG,0.0,0.026156691425631946,0.1284935489218098,0.0,0.03978634436552832,0.03590374337824279,0.0436266801183083,1.5210771010029254,1.3559724762419891,1.7057241814510837,0.31123427110761454,0.013629652939896372,0.00991106965618557,0.017395742692838247,0.5673837301479829,0.7948000000000001,10
