explainer,magnitude,within_rashomon,accuracy_improving,p,cliffs_delta
Grad$\times$Input,0.75,1.1782598332949274,1.1446118880603746,0.3707839514012542,-0.14769230769230768
Grad$\times$Input,1.0,1.289255466010074,1.2571947134287542,0.9270367406010908,0.016296296296296253
Grad$\times$Input,1.5,1.61031537366831,1.382287481461278,0.23894043554612687,0.19384615384615378
Grad$\times$Input,2.0,2.1643432981698303,1.5164288718491785,0.0031900126123084005,0.4830769230769232
IG,0.75,1.1420638936330287,1.0536259710248863,0.47982529615519,0.11692307692307691
IG,1.0,1.159607328285516,1.1456497094813358,0.28811992461830127,-0.17333333333333334
IG,1.5,1.4148814017827214,1.240591879943114,0.872755869216484,0.027692307692307683
IG,2.0,1.7031501681701342,1.3738866126842089,0.09172273182777055,0.2769230769230768
