shift,explainer,nu,rho_null,rho_seed,omega,delta,delta_lo,delta_hi,ratio,ratio_lo,ratio_hi,ratio_seed,uec,uec_lo,uec_hi,exceedance,preserved,n_seeds
corruption,Grad$\times$Input,0.0,0.14297024939473335,0.42378928387957276,0.0,0.17526122011335069,0.1667118505417393,0.185329959761361,1.2258579729371784,1.2072871631684667,1.2517991055504212,0.41351726844331943,0.03229097071861736,0.028623866483156152,0.03494813364381155,0.5291977497859851,0.2933333333333334,3
corruption,Grad-CAM,0.0,0.10310105383921286,0.2966733229504607,0.0,0.12406381826839603,0.12175136804228419,0.12572070380765943,1.2033225039762911,1.16213699009488,1.280745880680186,0.41839731905599126,0.020962764429183166,0.017540080628807436,0.027339110383914553,0.13809737339149106,0.2933333333333334,3
corruption,IG,0.0,0.13123572871849185,0.42026882761251616,0.0,0.18051727054925282,0.16653288571850852,0.18923672644639652,1.375519245498097,1.3062100517895765,1.491154523545869,0.42943922586167355,0.04928154183076098,0.039039696173419874,0.061192697490078475,0.7690439308086368,0.2933333333333334,3
corruption,Saliency,0.0,0.13665845868153356,0.4237830566912016,0.0,0.17068189830774058,0.16330605099765777,0.17894757047087398,1.248966949828511,1.2371780799729448,1.2697828800391802,0.4027141959202085,0.03402343962620701,0.031307227512821195,0.036074667019464685,0.6164750723574253,0.2933333333333334,3
shortcut,Grad$\times$Input,0.0,0.1256834860721094,0.42552941546462364,0.0,0.1452073234686456,0.13438620997960016,0.15783033944544048,1.1553413101967478,1.099881120312151,1.2131249964075257,0.3413626332572494,0.0195238373965362,0.013022765680660547,0.027728049975823066,0.39289993495600967,0.3853333333333333,3
shortcut,Grad-CAM,0.0,0.08479015429282584,0.27507349164116474,0.0,0.11840334741863169,0.11417359846440849,0.12386908280145563,1.396428021698386,1.222195545262718,1.550491980260169,0.43116030267063427,0.03361319312580586,0.020756797112979744,0.04397890318203529,0.2894115230563829,0.3853333333333333,3
shortcut,IG,0.0,0.13036565047111748,0.42072116225439293,0.0,0.1591605187965843,0.1531076445615563,0.17068045411000288,1.2208777252397964,1.1345741468730748,1.2852256783685454,0.3787163372520282,0.028794868325466832,0.018229893576724304,0.037878521357878586,0.2791414193283352,0.3853333333333333,3
shortcut,Saliency,0.0,0.12302715444672423,0.4255521874735057,0.0,0.1416951869418311,0.1336878577515071,0.15217275510406209,1.1517391227900902,1.1024927270384315,1.1933138452706453,0.3330747249934314,0.018668032495106877,0.012942982968742828,0.024651604061396465,0.41378247920303995,0.3853333333333333,3
