family,update_epochs,completeness,r,delta,omega,agree,seeds,r_se
concept,2,1.2243243941654955,0.056442621675940524,0.14232404999224418,0.11642983204586196,0.865625,8,0.052400491055970444
concept,20,2.087399799129786,0.13010341931452557,0.25786296017048976,0.12405923327114514,0.5446875,8,0.05021249264631163
concept,100,1.9016923716757914,0.38466818727412566,0.23284850623166023,0.12327490928983115,0.531875,8,0.05936786055157875
concept,400,3.03201068230201,-0.01334541968551189,0.37550418840311417,0.12431084133937766,0.535,8,0.0834350873939927
shortcut,2,0.24932216149076225,0.14933647378907974,0.08147576593908393,0.3266290740181713,0.950625,8,0.03996092634988192
shortcut,20,0.9929442535861263,0.8817574667819676,0.2256375730712948,0.22756028053084598,0.805625,8,0.016461749546004392
shortcut,100,1.1425105700422535,0.8558231566791661,0.2758684257287064,0.24199987442709187,0.7675,8,0.01931232404251902
shortcut,400,1.1609735891067223,0.508896372428434,0.3830262462172421,0.32993285609838263,0.709375,8,0.02753090416791548
