family,update_epochs,explainer,fass_distance,delta_audit_jsd,delta_audit_spurious,ros_mean,ros_max,omega,uec,ratio
concept,2,gradient_x_input,0.13601344065230997,0.02413839980768601,0.06796010528289781,1.1231597925988441,21.58777440186866,0.11494922235091007,-0.03084640600613566,2.6395142755525365
concept,2,integrated_gradients,0.1443887318208972,0.026520186786223178,0.06332711783728992,1.2319693411202786,25.75471615335747,0.11494922235091007,-0.0247953474807917,2.691308613220449
concept,2,kernel_shap,0.1571642806617784,0.031783522177422766,0.0696479605671387,1.3471403045461252,27.63157328073992,0.11494922235091007,-0.014717048274547298,2.7974790746864593
concept,20,gradient_x_input,0.2822077273954833,0.0806800067244234,0.14257579406749238,3.209584968395106,76.0759404293139,0.12231518310378839,0.019774190757798335,2.0245934231027785
concept,20,integrated_gradients,0.2563699337245203,0.07593246805689563,0.13866472501253893,2.6623083953035134,54.30727293750332,0.12231518310378839,0.015918208396327217,2.194772045982913
concept,20,kernel_shap,0.2563098181801745,0.07321175587976055,0.11573265402901207,2.5992151737461326,53.969911181063296,0.12231518310378839,0.016505684273612323,2.204725199679087
concept,100,gradient_x_input,0.29787735688715644,0.08266996418710268,0.11664908723225835,2.704777480448212,45.1136007354432,0.11989401459707005,-0.05774529675216562,1.2635783231591657
concept,100,integrated_gradients,0.23237315598069527,0.056239568404236585,0.09167279768781991,2.1133372923502742,36.973241002109994,0.11989401459707005,-0.07075545960927446,1.269604582219744
concept,100,kernel_shap,0.23621681462553523,0.05824417499907943,0.08652068400743744,1.9900271712991908,34.22231300749895,0.11989401459707005,-0.057005602714708656,1.3668260114536075
concept,400,gradient_x_input,0.382741960372128,0.12351127786228248,0.13707382329239318,2.7738349242139178,88.35058744899936,0.12405847653299455,-0.08637182055904824,1.1119774213679627
concept,400,integrated_gradients,0.3650770073127041,0.1126891676655321,0.13761730394091604,2.3593731183653714,70.63236941377644,0.12405847653299455,-0.11314425289072871,1.0335988091629122
