explainer,n,agree,agree_p,acc_treat_tgt,acc_treat_tgt_p,acc_src,acc_src_p,preserved_frac,preserved_frac_p,acc_within_magnitude_min,acc_within_magnitude_max,acc_sign_flips
Grad$\times$Input,300,0.27293366271995273,1.5943052280009587e-06,0.4195468820014797,3.2119668124216546e-14,-0.1694319829201844,0.003243049370260748,0.24527538013929892,1.7362040966773394e-05,-0.3996465228324399,0.45730704349104384,True
IG,300,0.22168872852605812,0.00010793750480828741,0.36820903277690187,4.58922907836324e-11,-0.2339212440079662,4.2835261445633994e-05,0.2178589624051656,0.00014268935591398832,-0.3074962703690361,0.444425689453287,True
